species,inchikey,formula,smiles,standard_smiles,IGCC_reaction
1,TUAHORSUHVUKBD-UHFFFAOYSA-N-1,C18H12,c1ccc2c(c1)ccc1ccc3ccccc3c12,c1ccc2c(c1)ccc1ccc3ccccc3c12,1 c1ccc2c(c1)ccc1ccc3ccccc3c12 + 3 C=C --> 4 c1ccccc1
2,IFLREYGFSNHWGE-UHFFFAOYSA-N-1,C18H12,c1ccc2cc3cc4ccccc4cc3cc2c1,c1ccc2cc3cc4ccccc4cc3cc2c1,1 c1ccc2cc3cc4ccccc4cc3cc2c1 + 3 C=C --> 4 c1ccccc1
3,WDECIBYCCFPHNR-UHFFFAOYSA-N-1,C18H12,c1ccc2c(c1)ccc1c3ccccc3ccc21,c1ccc2c(c1)ccc1c3ccccc3ccc21,1 c1ccc2c(c1)ccc1c3ccccc3ccc21 + 3 C=C --> 4 c1ccccc1
4,HAXBIWFMXWRORI-UHFFFAOYSA-N-1,C20H12,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1 c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12 + 1 C=C --> 1 c1ccc2c(c1)-c1cccc3cccc-2c13 + 1 c1ccccc1
5,FTOVXSOBNPWTSH-UHFFFAOYSA-N-1,C20H12,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,1 c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13 + 1 C=C --> 1 c1ccc2c(c1)-c1cccc3cccc-2c13 + 1 c1ccccc1
6,YZWGEMSQAMDWEM-UHFFFAOYSA-N-1,C22H14,c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21,c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21,1 c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21 + 4 C=C --> 5 c1ccccc1
7,GBROPGWFBFCKAG-UHFFFAOYSA-N-1,C22H14,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,1 c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21 + 4 C=C --> 5 c1ccccc1
8,LHRCREOYAASXPZ-UHFFFAOYSA-N-1,C22H14,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,1 c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12 + 4 C=C --> 5 c1ccccc1
9,YYGRIGYJXSQDQB-UHFFFAOYSA-N-1,C22H14,c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1,c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1,1 c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1 + 4 C=C --> 5 c1ccccc1
10,JTRPLRMCBJSBJV-UHFFFAOYSA-N-1,C22H14,c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1,c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1,1 c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1 + 4 C=C --> 5 c1ccccc1
11,JKPCLJPYZMKPHM-UHFFFAOYSA-N-1,C22H14,c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c12,c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c12,1 c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c12 + 4 C=C --> 5 c1ccccc1
12,SLIUAWYAILUBJU-UHFFFAOYSA-N-1,C22H14,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1,1 c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1 + 4 C=C --> 5 c1ccccc1
13,JZOIZKBKSZMVRV-UHFFFAOYSA-N-1,C22H14,c1ccc2c(c1)ccc1c3ccccc3c3ccccc3c21,c1ccc2c(c1)ccc1c3ccccc3c3ccccc3c21,1 c1ccc2c(c1)ccc1c3ccccc3c3ccccc3c21 + 4 C=C --> 5 c1ccccc1
14,RAASUWZPTOJQAY-UHFFFAOYSA-N-1,C22H14,c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,1 c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1 + 4 C=C --> 5 c1ccccc1
16,RXUSYFJGDZFVND-UHFFFAOYSA-N-1,C24H14,c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43,c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43,1 c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43 + 7 C=C + 1 [H][H] --> 6 c1ccccc1 + 2 C
18,KKWNFCVLJZXKCD-UHFFFAOYSA-N-1,C26H16,c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12,c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12,1 c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12 + 5 C=C --> 6 c1ccccc1
