index,inchikey,formula,smiles,standard_smiles,IGCC_reaction,Hf_BAC/(kcal/mol),Hf_BDC/(kcal/mol),Hf_B3LYP/(kcal/mol),Hf_MP2/(kcal/mol),Hf_CCSDT/(kcal/mol),Hf_CCSDT_CBH/(kcal/mol),S_298/(cal/mol/K),Cp_298/(cal/mol/K)
0,TUAHORSUHVUKBD-UHFFFAOYSA-N-1,C18H12,c1ccc2c(c1)ccc1ccc3ccccc3c12,c1ccc2c(c1)ccc1ccc3ccccc3c12,1 c1ccc2c(c1)ccc1ccc3ccccc3c12 + 3 C=C --> 4 c1ccccc1,-13.57,-3.94,-240.11,823.99,69.24,68.0,108.64699999999999,55.86
1,IFLREYGFSNHWGE-UHFFFAOYSA-N-1,C18H12,c1ccc2cc3cc4ccccc4cc3cc2c1,c1ccc2cc3cc4ccccc4cc3cc2c1,1 c1ccc2cc3cc4ccccc4cc3cc2c1 + 3 C=C --> 4 c1ccccc1,-14.44,-4.56,-235.14,832.09,74.76,74.61,106.77,56.27
2,WDECIBYCCFPHNR-UHFFFAOYSA-N-1,C18H12,c1ccc2c(c1)ccc1c3ccccc3ccc21,c1ccc2c(c1)ccc1c3ccccc3ccc21,1 c1ccc2c(c1)ccc1c3ccccc3ccc21 + 3 C=C --> 4 c1ccccc1,-13.57,-3.94,-245.97,819.83,63.85,63.84,108.42,55.86
3,HAXBIWFMXWRORI-UHFFFAOYSA-N-1,C20H12,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1 c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12 + 1 C=C --> 1 c1ccc2c(c1)-c1cccc3cccc-2c13 + 1 c1ccccc1,-16.41,-1.47,-263.4,911.91,82.35,82.35,112.04,60.31
4,FTOVXSOBNPWTSH-UHFFFAOYSA-N-1,C20H12,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,1 c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13 + 1 C=C --> 1 c1ccc2c(c1)-c1cccc3cccc-2c13 + 1 c1ccccc1,-15.98,-1.06,-265.75,908.83,80.11,80.11,113.4,60.2
5,YZWGEMSQAMDWEM-UHFFFAOYSA-N-1,C22H14,c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21,c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21,1 c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21 + 4 C=C --> 5 c1ccccc1,-16.88,-5.16,-295.59,1001.24,,82.34,123.377,67.86
6,GBROPGWFBFCKAG-UHFFFAOYSA-N-1,C22H14,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,1 c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21 + 4 C=C --> 5 c1ccccc1,-16.88,-5.16,-301.5,997.23,78.37,78.33,121.99,67.83
7,LHRCREOYAASXPZ-UHFFFAOYSA-N-1,C22H14,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,1 c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12 + 4 C=C --> 5 c1ccccc1,-17.31,-5.47,-301.39,997.85,78.52,78.22,121.6,67.84
8,YYGRIGYJXSQDQB-UHFFFAOYSA-N-1,C22H14,c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1,c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1,1 c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1 + 4 C=C --> 5 c1ccccc1,-17.31,-5.47,-298.28,1000.99,,81.35,123.19,67.97
9,JTRPLRMCBJSBJV-UHFFFAOYSA-N-1,C22H14,c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1,c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1,1 c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1 + 4 C=C --> 5 c1ccccc1,-17.74,-5.78,-294.06,1006.04,85.91,85.66,122.94,68.1
