T: 298.15K,  Hf: kcal/mol,  S: cal/mol/K,  Cp: cal/mol/K
inchikey                                smiles                                                                  Hf_B3LYP              Hf_MP2            Hf_CCSDT                   S                  Cp
AFVMDRFUJONSCM-UHFFFAOYSA-N-1           c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1                                 -348.46             1184.40              101.12              136.65               80.03
CSHWQDPOILHKBI-UHFFFAOYSA-N-1           c1cc2cccc3c4cccc5cccc(c(c1)c23)c54                                       -272.19              904.74               75.46              110.64               59.83
DHCSBRKYHMINPB-UHFFFAOYSA-N-1           c1ccc2cc3c(ccc4c5cc6ccccc6cc5ccc34)cc2c1                                 -350.39             1182.29               99.00              135.22               79.98
FTOVXSOBNPWTSH-UHFFFAOYSA-N-1           c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13                                       -265.75              908.83               80.11              113.40               60.11
FUDUPLHPBBXJRW-UHFFFAOYSA-N-1           c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13                                 -353.18             1178.53               95.97              136.83               79.75
GBROPGWFBFCKAG-UHFFFAOYSA-N-1           c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21                                       -301.50              997.23               78.33              121.99               67.73
GQDKQZAEQBGVBS-UHFFFAOYSA-N-1           c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21                                 -341.24             1184.69              104.32              134.85               79.96
GVEPBJHOBDJJJI-UHFFFAOYSA-N-1           c1ccc2c(c1)-c1cccc3cccc-2c13                                             -207.41              734.18               68.20               98.78               48.14
GWBFCDHVRQBXAV-UHFFFAOYSA-N-1           c1ccc2c(c1)ccc1cc3c4ccccc4c4ccccc4c3cc12                                 -356.90             1174.34               92.52              137.87               79.64
GYFAGKUZYNFMBN-UHFFFAOYSA-N-1           c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56                                     -313.05              973.29               71.10              113.19               63.69
HAXBIWFMXWRORI-UHFFFAOYSA-N-1           c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12                                       -263.40              911.91               82.35              112.04               60.21
HFLVQBRYQIXJAW-UHFFFAOYSA-N-1           c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1                               -354.65             1178.12               94.83              136.37               79.81
IFLREYGFSNHWGE-UHFFFAOYSA-N-1           c1ccc2cc3cc4ccccc4cc3cc2c1                                               -235.14              832.09               74.61              106.77               56.17
IHQGFGQIOMWFFZ-UHFFFAOYSA-N-1           c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12                               -356.21             1175.88               93.34              136.60               79.73
IQHSIXFTHHMAIW-UHFFFAOYSA-N-1           c1ccc2cc3cc4c(ccc5ccc6ccccc6c54)cc3cc2c1                                 -342.99             1187.97              104.68              136.83               80.03
JBHIIKGZANVCJJ-UHFFFAOYSA-N-1           c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13                                 -348.55             1180.43               98.60              137.09               79.79
JKPCLJPYZMKPHM-UHFFFAOYSA-N-1           c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c12                                       -291.71             1003.54               84.65              121.05               67.86
JTRPLRMCBJSBJV-UHFFFAOYSA-N-1           c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1                                       -294.06             1006.04               85.66              122.94               67.99
JVVYVDMBJGSYKH-UHFFFAOYSA-N-1           c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1                                 -353.97             1178.26               95.72              136.83               79.82
JZOIZKBKSZMVRV-UHFFFAOYSA-N-1           c1ccc2c(c1)ccc1c3ccccc3c3ccccc3c21                                       -294.94             1000.96               82.78              123.65               67.73
KKWNFCVLJZXKCD-UHFFFAOYSA-N-1           c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12                               -352.67             1180.24               96.95              135.06               79.84
LHRCREOYAASXPZ-UHFFFAOYSA-N-1           c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12                                     -301.39              997.85               78.22              121.60               67.74
